,users,values,time
315,10,12.2,14:22:32
316,10,12.5,14:22:37
317,10,12.8,14:22:42
318,10,13.2,14:22:47
319,10,13.9,14:22:52
320,10,13.1,14:22:57
321,10,12.4,14:23:02
322,10,15.4,14:23:07
323,10,15.7,14:23:12
324,10,14.4,14:23:17
325,10,14.7,14:23:22
326,10,14.4,14:23:27
327,10,12.6,14:23:32
328,10,12.6,14:23:37
329,10,13.4,14:23:42
330,10,14.1,14:23:47
331,10,12.6,14:23:52
332,10,12.1,14:23:57
333,10,12.8,14:24:02
334,10,13.6,14:24:07
335,10,13.4,14:24:12
336,10,13.8,14:24:17
337,10,13.9,14:24:22
338,10,13.5,14:24:27
339,10,12.0,14:24:32
340,10,12.2,14:24:37
341,10,12.7,14:24:42
342,10,13.3,14:24:47
343,10,12.1,14:24:52
344,10,11.7,14:24:57
345,10,12.2,14:25:02
346,10,13.3,14:25:07
347,10,13.4,14:25:12
348,10,12.4,14:25:17
349,10,13.0,14:25:22
350,10,13.6,14:25:27
351,10,13.5,14:25:32
352,10,13.3,14:25:37
353,10,12.8,14:25:42
354,10,12.7,14:25:47
355,10,13.1,14:25:52
356,10,13.5,14:25:57
357,10,13.2,14:26:02
358,10,12.7,14:26:07
359,10,12.3,14:26:12
360,10,12.8,14:26:17
361,10,14.6,14:26:22
362,10,14.3,14:26:27
363,10,14.0,14:26:32
364,10,14.3,14:26:37
365,10,13.9,14:26:42
366,10,13.1,14:26:47
367,10,12.7,14:26:52
368,10,12.8,14:26:57
369,10,12.5,14:27:02
370,10,11.8,14:27:07
371,10,12.0,14:27:12
372,10,12.5,14:27:17
373,10,12.9,14:27:22
374,10,12.6,14:27:27
375,10,12.2,14:27:32
376,10,12.7,14:27:37
377,10,13.3,14:27:42
378,10,12.4,14:27:47
379,10,13.4,14:27:52
380,10,12.6,14:27:57
381,10,12.4,14:28:02
382,10,13.0,14:28:07
383,10,12.8,14:28:12
384,10,13.5,14:28:17
385,10,12.9,14:28:22
386,10,13.2,14:28:27
387,10,12.2,14:28:32
388,10,11.6,14:28:37
389,10,12.0,14:28:42
390,10,12.5,14:28:47
391,10,12.8,14:28:52
392,10,12.8,14:28:57
393,10,13.1,14:29:02
394,10,12.8,14:29:07
395,10,12.7,14:29:12
396,10,13.8,14:29:18
397,10,14.7,14:29:23
398,10,14.2,14:29:28
399,10,12.7,14:29:33
400,10,12.7,14:29:38
401,10,13.1,14:29:43
402,10,13.8,14:29:48
403,10,13.4,14:29:53
404,10,13.6,14:29:58
405,10,13.0,14:30:03
406,10,13.5,14:30:08
407,10,13.7,14:30:13
408,10,13.5,14:30:18
409,10,12.9,14:30:23
410,10,13.6,14:30:28
411,10,14.0,14:30:33
412,10,13.0,14:30:38
413,10,13.5,14:30:43
414,10,13.6,14:30:48
415,10,12.9,14:30:53
416,10,12.5,14:30:58
417,10,12.4,14:31:03
418,10,13.6,14:31:08
419,10,13.9,14:31:13
420,10,13.1,14:31:18
421,10,12.8,14:31:23
422,10,12.5,14:31:28
423,10,12.6,14:31:33
424,10,13.4,14:31:38
425,10,13.5,14:31:43
426,10,13.3,14:31:48
427,10,13.4,14:31:53
428,10,13.2,14:31:58
429,10,12.4,14:32:03
430,10,12.0,14:32:08
431,10,12.5,14:32:13
432,10,12.8,14:32:18
433,10,12.8,14:32:23
434,10,13.3,14:32:28
435,10,13.5,14:32:33
436,10,13.2,14:32:38
437,10,13.3,14:32:43
438,10,13.3,14:32:48
439,10,12.8,14:32:53
440,10,13.0,14:32:58
441,10,13.3,14:33:03
442,10,13.3,14:33:08
443,10,13.0,14:33:13
444,10,12.7,14:33:18
445,10,12.6,14:33:23
446,10,13.3,14:33:28
447,10,13.9,14:33:33
448,10,13.6,14:33:38
449,10,13.4,14:33:43
450,10,12.8,14:33:48
451,10,13.2,14:33:53
452,10,13.2,14:33:58
453,10,13.0,14:34:03
454,10,12.7,14:34:08
455,10,12.4,14:34:13
456,10,12.3,14:34:18
457,10,12.7,14:34:23
458,10,12.5,14:34:28
459,10,12.1,14:34:33
460,10,12.6,14:34:38
461,10,12.5,14:34:43
462,10,12.5,14:34:48
463,10,12.7,14:34:53
464,10,12.7,14:34:58
465,10,12.7,14:35:03
466,10,13.0,14:35:08
467,10,12.5,14:35:13
468,10,12.2,14:35:18
469,10,12.5,14:35:23
470,10,12.9,14:35:28
471,10,12.6,14:35:33
472,10,12.8,14:35:38
473,10,13.3,14:35:43
474,10,13.0,14:35:48
475,10,12.5,14:35:53
476,10,12.4,14:35:58
477,10,13.0,14:36:03
478,10,12.8,14:36:08
479,10,13.1,14:36:13
480,10,12.8,14:36:18
481,10,15.8,14:36:23
482,10,16.4,14:36:28
483,10,13.6,14:36:33
484,10,12.6,14:36:38
485,10,12.9,14:36:43
486,10,12.5,14:36:48
487,10,12.9,14:36:53
488,10,12.9,14:36:58
489,10,12.8,14:37:03
490,10,13.2,14:37:08
491,10,12.7,14:37:13
492,10,13.0,14:37:18
493,10,13.9,14:37:23
494,10,13.4,14:37:28
495,10,12.6,14:37:33
496,10,12.3,14:37:38
497,10,12.2,14:37:43
498,10,12.9,14:37:48
499,10,13.1,14:37:53
500,10,13.1,14:37:58
501,10,13.1,14:38:03
502,10,13.1,14:38:08
503,10,13.0,14:38:13
504,10,13.0,14:38:18
505,10,13.3,14:38:23
506,10,13.6,14:38:28
507,10,13.7,14:38:33
508,10,12.8,14:38:38
509,10,13.1,14:38:43
510,10,14.0,14:38:48
511,10,13.3,14:38:53
512,10,13.5,14:38:58
513,10,13.7,14:39:03
514,10,12.1,14:39:08
515,10,12.5,14:39:13
516,10,13.5,14:39:18
517,10,12.9,14:39:23
518,10,12.6,14:39:28
519,10,12.9,14:39:33
520,10,12.6,14:39:38
521,10,12.5,14:39:43
522,10,12.7,14:39:48
523,10,13.7,14:39:53
524,10,13.2,14:39:58
525,10,12.5,14:40:03
526,10,13.4,14:40:08
527,10,13.5,14:40:13
528,10,12.4,14:40:18
529,10,12.6,14:40:23
530,10,13.2,14:40:28
531,10,13.4,14:40:33
532,10,12.1,14:40:38
533,10,11.8,14:40:43
534,10,12.3,14:40:48
535,10,12.6,14:40:53
536,10,12.8,14:40:58
537,10,13.8,14:41:03
538,10,13.2,14:41:08
539,10,12.6,14:41:13
540,10,12.5,14:41:18
541,10,13.1,14:41:23
542,10,13.3,14:41:28
543,10,12.6,14:41:33
544,10,12.8,14:41:38
545,10,13.1,14:41:43
546,10,13.0,14:41:48
547,10,13.3,14:41:53
548,10,12.5,14:41:58
549,10,12.5,14:42:03
550,10,12.9,14:42:08
551,10,13.1,14:42:13
552,10,13.3,14:42:18
553,10,13.7,14:42:23
554,10,13.7,14:42:28
555,10,12.7,14:42:33
556,10,13.0,14:42:38
557,10,13.6,14:42:43
558,10,14.0,14:42:48
559,10,13.9,14:42:53
560,10,13.7,14:42:58
561,10,12.9,14:43:03
562,10,12.5,14:43:08
563,10,13.5,14:43:13
564,10,12.9,14:43:18
565,10,11.9,14:43:23
566,10,11.5,14:43:28
567,10,11.5,14:43:33
568,10,14.3,14:43:38
569,10,14.2,14:43:43
570,10,13.4,14:43:48
571,10,14.4,14:43:53
572,10,13.0,14:43:58
573,10,12.1,14:44:03
574,10,13.7,14:44:08
575,10,14.0,14:44:13
576,10,12.5,14:44:18
577,10,11.9,14:44:23
578,10,13.1,14:44:28
579,10,13.2,14:44:33
580,10,12.4,14:44:38
581,10,12.1,14:44:43
582,10,13.8,14:44:48
583,10,13.4,14:44:53
584,10,12.6,14:44:58
585,10,13.4,14:45:03
586,10,12.5,14:45:08
587,10,12.6,14:45:13
588,10,13.0,14:45:18
589,10,14.0,14:45:23
590,10,14.3,14:45:28
591,10,13.0,14:45:33
592,10,13.1,14:45:38
593,10,13.1,14:45:43
594,10,12.7,14:45:48
595,10,12.8,14:45:53
596,10,12.9,14:45:58
597,10,12.8,14:46:03
598,10,12.3,14:46:08
599,10,12.2,14:46:13
600,10,12.8,14:46:18
601,10,11.9,14:46:23
602,10,12.2,14:46:28
